Time on 05 Jun 2021,S4_Humidity,S4_Temperature
17:10:59,25.6,99.9
17:11:05,25.7,100
17:11:11,25.6,100
17:11:19,25.6,100
17:11:24,25.6,100
17:11:30,25.6,100
17:11:35,25.7,100
17:11:43,25.6,99.9
17:11:49,25.5,99.9
17:11:54,25.7,99.5
17:12:07,25.8,99.5
17:12:13,25.7,99.5
17:12:18,25.8,99.3
17:12:27,25.8,99.3
17:12:32,25.9,99.3
17:12:38,25.9,99.3
17:12:43,26.1,99.1
17:12:49,26.1,99.3
17:12:54,26,99.5
17:13:00,26,99.3
17:13:08,26.1,99.3
17:13:13,26,99.3
17:13:19,26,99.5
17:13:24,26,99.5
17:13:30,25.9,99.7
17:13:38,25.9,99.7
17:13:43,25.8,99.7
17:13:52,25.8,99.7
17:13:57,25.8,99.9
17:14:03,25.8,99.9
17:14:08,25.9,99.9
17:14:14,25.8,99.9
17:14:24,25.8,99.9
17:14:30,25.9,99.9
17:14:40,25.9,99.9
17:14:46,25.8,99.9
17:14:51,25.7,100
17:15:00,25.7,100
17:15:05,25.8,100
17:15:16,25.8,100
17:15:21,25.8,100
17:15:27,25.6,100
17:15:32,25.7,100
17:15:38,25.8,100
17:15:43,25.8,100
17:15:49,25.6,100.2
17:15:57,25.7,100
17:16:02,25.6,100.2
17:16:10,25.5,100.2
17:16:19,25.6,100.4
17:16:27,25.6,100.4
17:16:32,25.4,100.4
17:16:43,25.3,100.4
17:16:53,25.3,100.4
17:16:59,25.4,100.4
17:17:04,25.3,100.4
17:17:10,25.2,100.4
17:17:18,25.2,100.4
17:17:23,25.3,100.2
17:17:29,25.3,100.2
17:17:35,25.3,100.2
17:17:40,25.3,100.2
17:17:46,25.3,100.2
17:17:51,25.3,100.2
17:18:04,25.3,100.2
17:18:10,25.2,100.4
17:18:15,25.2,100.2
17:18:23,25.2,100.2
17:18:29,25.2,100.2
17:18:34,25.2,100.2
17:18:43,25.3,100.2
17:18:53,25.3,100
17:18:59,25.3,100
17:19:07,25.3,100.2
17:19:12,25.3,100
17:19:20,25.3,100.2
17:19:26,25.3,100
