Time,lamp,heater,fan,ac,Bedroom 2 to Bathroom,Bedroom 1 to Living Room,Living Room to Kitchen,Living Room to Bathroom,Bedroom 1 to Bathroom,Living Room to Outside,Bedroom 1 to Outside,Bedroom 1 Left Window,Living Room Left Window,Bedroom 2 Right Window,Kitchen Right Window,Bedroom 2 Back Window,Living Room Front Window,Kitchen Front Window,Bedroom 1 Back Window
9:47:27,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
9:47:35,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0
9:47:37,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
9:48:09,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0
9:48:11,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
9:48:17,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
9:48:23,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0
9:48:25,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0
9:48:27,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0
9:48:29,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
9:48:31,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0
9:48:35,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
9:48:37,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
9:48:39,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
9:48:41,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
9:48:45,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
9:48:47,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
9:48:49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9:48:53,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
9:48:55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9:48:59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9:49:03,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9:49:07,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9:49:37,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9:50:07,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9:50:37,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
