0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
18:12:09,50.1,75.9,55.7,72.5,56.3,71.8,57.3,71.4,56.3,72.1,53.8,73.2,53.1,73.4,56.2,72.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:12:16,50.1,75.9,55.7,72.5,56.3,71.8,57.3,71.4,56.3,72.1,53.8,73.2,53.1,73.4,56.2,72.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:12:34,50.1,75.9,55.7,72.7,56.4,71.8,57.3,71.6,56.5,72.1,53.8,73.2,53.1,73.4,56.2,72.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:12:39,49.9,75.9,55.6,72.5,56.4,71.8,57.4,71.6,56.4,72.1,53.8,73.2,53.1,73.4,56.2,72.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:12:53,49.9,75.9,55.6,72.5,56.4,71.8,57.4,71.6,56.4,72.1,53.8,73.2,53.1,73.4,56.2,72.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:13:09,49.9,75.9,55.6,72.7,56.4,71.8,57.4,71.6,56.5,72.1,53.8,73.2,53.0,73.4,56.2,72.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:13:16,49.9,75.9,55.6,72.7,56.4,71.8,57.4,71.6,56.5,72.1,53.8,73.2,53.0,73.4,56.2,72.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:13:30,50.0,75.9,55.6,72.7,56.4,71.8,57.4,71.6,56.5,72.1,53.8,73.3,53.1,73.4,56.2,72.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:13:39,50.0,75.9,55.4,72.7,56.5,71.8,57.5,71.6,56.5,72.3,53.7,73.4,53.1,73.5,56.3,72.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:13:43,50.0,75.9,55.4,72.7,56.5,71.8,57.5,71.6,56.5,72.3,53.7,73.4,53.0,73.5,56.3,72.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:14:00,50.0,75.9,55.4,72.7,56.5,71.8,57.5,71.6,56.5,72.3,53.9,73.4,53.0,73.6,56.3,72.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:14:09,49.9,76.0,55.3,72.9,56.5,72.0,57.5,71.6,56.5,72.3,53.9,73.6,53.0,73.6,56.3,72.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:14:32,49.9,76.0,55.3,72.9,56.5,72.0,57.5,71.6,56.5,72.3,53.9,73.6,53.0,73.6,56.3,72.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:14:39,49.8,76.1,55.3,72.9,56.5,72.0,57.5,71.6,56.5,72.3,53.8,73.6,53.0,73.6,56.4,72.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:15:02,49.8,76.1,55.3,72.9,56.5,72.0,57.5,71.6,56.6,72.3,53.8,73.6,53.0,73.6,56.4,72.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:15:09,49.9,75.9,55.2,72.9,56.6,72.0,57.5,71.6,56.6,72.3,53.7,73.6,53.0,73.6,56.4,72.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:15:32,49.9,75.9,55.2,72.9,56.6,72.0,57.5,71.6,56.6,72.3,53.7,73.6,53.0,73.6,56.4,72.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:15:39,49.9,76.0,55.1,72.9,56.5,72.0,57.5,71.6,56.6,72.5,53.7,73.8,53.0,73.8,56.4,72.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
